F5	9606.ENSP00000354631
9606.ENSP00000356601
9606.ENSP00000297450
9606.ENSP00000336762
9606.ENSP00000371347
9606.ENSP00000355627
9606.ENSP00000372173
9606.ENSP00000360170
-1.CID000095201
REN9606.ENSP00000292450
9606.ENSP00000227251
9606.ENSP00000266589
9606.ENSP00000158762
9606.ENSP00000354878
9606.ENSP00000300896
9606.ENSP00000320337
9606.ENSP00000362918
9606.ENSP00000337598
9606.ENSP00000357283
9606.ENSP00000330813
9606.ENSP00000303507
9606.ENSP00000216218
9606.ENSP00000221899
9606.ENSP00000005226
9606.ENSP00000261758
9606.ENSP00000346196
9606.ENSP00000307746
9606.ENSP00000227157
9606.ENSP00000303015
9606.ENSP00000253571
9606.ENSP00000261772
9606.ENSP00000359977
9606.ENSP00000259154
9606.ENSP00000369111
9606.ENSP00000335153
9606.ENSP00000351646
9606.ENSP00000272190
9606.ENSP00000353887
9606.ENSP00000348110
9606.ENSP00000261535
9606.ENSP00000363661
9606.ENSP00000314030
9606.ENSP00000353560
9606.ENSP00000324856
9606.ENSP00000325785
9606.ENSP00000256379
9606.ENSP00000286788
9606.ENSP00000367570
9606.ENSP00000368759
9606.ENSP00000232165
9606.ENSP00000347190
9606.ENSP00000367923
9606.ENSP00000320940
9606.ENSP00000363761
9606.ENSP00000343054
9606.ENSP00000262477
9606.ENSP00000349096
9606.ENSP00000344655
9606.ENSP00000229319
9606.ENSP00000317714
9606.ENSP00000322419
9606.ENSP00000354528
9606.ENSP00000368363
9606.ENSP00000353046
LTA9606.ENSP00000228740
9606.ENSP00000228918
9606.ENSP00000295640
9606.ENSP00000372793
9606.ENSP00000372991
9606.ENSP00000365303
HGF9606.ENSP00000317272
9606.ENSP00000325431
9606.ENSP00000301244
9606.ENSP00000258743
9606.ENSP00000263879
9606.ENSP00000222390
9606.ENSP00000342098
9606.ENSP00000264755
9606.ENSP00000011619
EGF9606.ENSP00000294261
9606.ENSP00000373540
9606.ENSP00000265171
9606.ENSP00000368767
9606.ENSP00000361566
9606.ENSP00000319883
9606.ENSP00000324810
9606.ENSP00000307971
9606.ENSP00000262738
9606.ENSP00000295982
9606.ENSP00000322937
9606.ENSP00000354080
9606.ENSP00000312050
